X 		 Y
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 275.0	-313.0	0
 277.0	76.0	0
 -369.0	157.0	-5
 459.0	167.0	-5
 -326.0	77.0	0
 168.0	179.0	0
 73.0	515.0	0
 1.0	0.0	0
 -33.0	-404.0	0
 -51.0	-129.0	0
 -96.0	257.0	0
 -43.0	-1.0	-10
 4.0	-4.0	-10
 16.0	3.0	0
 21.0	2.0	10
 16.0	1.0	20
 31.0	0.0	30
 18.0	0.0	40
 147.0	-39.0	40
 -8.0	-10.0	25
 76.0	-104.0	30
 -1.0	-7.0	25
 5.0	6.0	35
 -45.0	-14.0	20
 -20.0	-5.0	5
 -21.0	1.0	-5
 -32.0	58.0	-15
 -5.0	8.0	-25
 -5.0	-80.0	-40
 -2.0	4.0	-40
 18.0	202.0	-35
 8.0	-4.0	-25
 -10.0	-8.0	-40
 -34.0	-4.0	-50
 -27.0	-8.0	-65
 -14.0	-5.0	-80
 -45.0	-37.0	-95
 11.0	-13.0	-90
 81.0	-14.0	-85
 103.0	-10.0	-80
 2.0	24.0	-80
 -153.0	103.0	-85
 -62.0	62.0	-95
 5.0	-13.0	-90
 0.0	-12.0	-95
 1.0	-7.0	-100
 -1.0	-9.0	-105
 16.0	-5.0	-100
 61.0	10.0	-90
 163.0	-5.0	-90
 23.0	-18.0	-85
 75.0	-23.0	-80
 23.0	-15.0	-75
 84.0	-18.0	-70
 112.0	-7.0	-65
 -3.0	-10.0	-70
 7.0	0.0	-60
 32.0	6.0	-50
 22.0	5.0	-40
 -666.0	39.0	0
 44.0	28.0	10
 33.0	11.0	20
 25.0	-107.0	25
 8.0	35.0	35
 29.0	-23.0	40
 -21.0	38.0	30
 5.0	0.0	40
 131.0	-91.0	40
 18.0	15.0	50
 -5.0	5.0	40
 2.0	-2.0	40
 2.0	-4.0	40
 2.0	-3.0	40
 13.0	-3.0	50
 16.0	0.0	60
 133.0	173.0	60
 90.0	170.0	65
 -80.0	-347.0	0
 9.0	17.0	10
 21.0	13.0	20
 53.0	19.0	30
 107.0	45.0	40
 0.0	-34.0	35
 -16.0	95.0	25
 64.0	-104.0	30
 -175.0	31.0	25
 -346.0	-112.0	-5
 -89.0	91.0	-15
 -38.0	40.0	-25
 0.0	30.0	-25
 0.0	9.0	-25
 3.0	5.0	-25
 83.0	-66.0	-20
 35.0	-79.0	-15
 -98.0	-205.0	0
 124.0	247.0	5
 6.0	-25.0	10
 9.0	-14.0	15
 9.0	-3.0	25
 5.0	1.0	35
 104.0	68.0	45
 9.0	-37.0	50
 -9.0	-24.0	35
 -1.0	-13.0	30
 5.0	-19.0	35
 37.0	124.0	45
 48.0	11.0	55
 45.0	-6.0	60
 -1.0	8.0	60
 55.0	98.0	70
 22.0	-19.0	75
 -5.0	60.0	65
 49.0	-12.0	70
 0.0	-24.0	65
 -947.0	-715.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
